iter	Passed	Remaining
0	3819	3815952
1	13937	6954616
2	21353	7096536
3	26092	6496924
4	31086	6186228
5	34915	5784369
6	39507	5604486
7	42047	5213831
8	46083	5074339
9	52777	5224935
10	58156	5228837
11	63770	5250397
12	69458	5273501
13	73708	5191216
14	76475	5021919
15	81258	4997377
16	84705	4897974
17	87688	4783871
18	91029	4700004
19	95042	4657064
20	98338	4584449
21	100118	4450700
22	101950	4330677
23	104048	4231287
24	106061	4136417
25	107660	4033110
26	108670	3916156
27	109620	3805393
28	110488	3699473
29	111327	3599593
30	112262	3509104
31	113135	3422348
32	113443	3324247
33	113564	3226573
34	113570	3131306
35	113577	3041364
36	113581	2956193
37	113588	2875572
38	113594	2799086
39	113600	2726411
40	113607	2657298
41	113613	2591467
42	113620	2528707
43	113626	2468789
44	113634	2411585
45	113644	2356897
46	113651	2304467
47	113658	2254217
48	113664	2206026
49	113671	2159756
50	113678	2115304
51	113684	2072554
52	113690	2031421
53	113697	1991809
54	113704	1953643
55	113711	1916844
56	113718	1881334
57	113724	1847050
58	113731	1813920
59	113738	1781901
60	113745	1750928
61	113753	1720977
62	113759	1691953
63	113766	1663834
64	113781	1636702
65	113787	1610259
66	113794	1584632
67	113801	1559751
68	113809	1535597
69	113816	1512136
70	113823	1489328
71	113831	1467159
72	113838	1445589
73	113845	1424605
74	113852	1404182
75	113860	1384303
76	113867	1364931
77	113874	1346056
78	113881	1327652
79	113888	1309715
80	113894	1292215
81	113901	1275145
82	113909	1258490
83	113920	1242271
84	113927	1226398
85	113935	1210896
86	113944	1195758
87	113951	1180952
88	113958	1166473
89	113966	1152323
90	113973	1138483
91	113981	1124946
92	113988	1111692
93	113996	1098727
94	114002	1086027
95	114010	1073597
96	114017	1061417
97	114024	1049491
98	114031	1037804
99	114039	1026354
100	114046	1015125
101	114057	1004152
102	114065	993363
103	114072	982781
104	114080	972396
105	114087	962209
106	114094	952210
107	114102	942400
108	114109	932768
109	114117	923314
110	114124	914027
111	114132	904909
112	114139	895947
113	114147	887144
114	114154	878493
115	114162	869993
116	114168	861633
117	114176	853419
118	114183	845343
119	114191	837407
120	114199	829596
121	114206	821911
122	114213	814350
123	114220	806913
124	114227	799594
125	114234	792391
126	114242	785305
127	114249	778325
128	114257	771458
129	114264	764691
130	114271	758031
131	114278	751469
132	114287	745014
133	114294	738648
134	114303	732388
135	114311	726213
136	114318	720123
137	114326	714127
138	114334	708214
139	114343	702395
140	114350	696647
141	114357	690979
142	114368	685412
143	114375	679901
144	114383	674466
145	114390	669108
146	114399	663825
147	114406	658611
148	114413	653463
